1.2500000000e-03 	.5e 	.5e 	.5e 	 3.58000e+01
3.3200000000e-03 	.5e 	.5e 	.5e 	 3.58124e+01
6.5610000000e-02 	.5e 	.5e 	.5e 	 3.58800e+01
6.8800000000e-02 	.5e 	.5e 	.5e 	 3.59821e+01
7.1020000000e-02 	.5e 	.5e 	.5e 	 3.58584e+01
9.4650000000e-02 	.5e 	.5e 	.5e 	 3.58732e+01
1.2765000000e-01 	.5e 	.5e 	.5e 	 3.59717e+01
1.4873000000e-01 	.5e 	.5e 	.5e 	 3.58789e+01
3.1042000000e-01 	.5e 	.5e 	.5e 	 3.58573e+01
4.2083000000e-01 	.5e 	.5e 	.5e 	 3.58658e+01
5.1806000000e-01 	.5e 	.5e 	.5e 	 3.55567e+01
7.3819000000e-01 	.5e 	.5e 	.5e 	 3.55083e+01
7.9167000000e-01 	.5e 	.5e 	.5e 	 3.59715e+01
8.4097000000e-01 	.5e 	.5e 	.5e 	 3.59237e+01
8.6875000000e-01 	.5e 	.5e 	.5e 	 3.55085e+01
1.0319400000e+00 	.5e 	.5e 	.5e 	 3.59243e+01
1.0430600000e+00 	.5e 	.5e 	.5e 	 3.56228e+01
1.0506900000e+00 	.5e 	.5e 	.5e 	 3.59603e+01
1.0972200000e+00 	.5e 	.5e 	.5e 	 3.57825e+01
1.1444400000e+00 	.5e 	.5e 	.5e 	 3.58652e+01
1.1548600000e+00 	.5e 	.5e 	.5e 	 3.59052e+01
1.1555600000e+00 	.5e 	.5e 	.5e 	 3.59050e+01
1.2381900000e+00 	.5e 	.5e 	.5e 	 3.59290e+01
1.3673600000e+00 	.5e 	.5e 	.5e 	 3.58662e+01
1.4104200000e+00 	.5e 	.5e 	.5e 	 3.59220e+01
1.6041700000e+00 	.5e 	.5e 	.5e 	 3.58497e+01
1.7680600000e+00 	.5e 	.5e 	.5e 	 3.58830e+01
1.7965300000e+00 	.5e 	.5e 	.5e 	 3.55432e+01
1.8000000000e+00 	.5e 	.5e 	.5e 	 3.55443e+01
2.0798600000e+00 	.5e 	.5e 	.5e 	 3.55670e+01
2.2569400000e+00 	.5e 	.5e 	.5e 	 3.59357e+01
2.3722200000e+00 	.5e 	.5e 	.5e 	 3.61615e+01
2.4555600000e+00 	.5e 	.5e 	.5e 	 3.59273e+01
2.5645800000e+00 	.5e 	.5e 	.5e 	 3.59233e+01
2.6763900000e+00 	.5e 	.5e 	.5e 	 3.58602e+01
